#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2012 01 01 19 00  74  6.6 999 99.0 9999
2012 01 01 19 10  79  6.5 999 99.0 9999
2012 01 01 19 20  84  6.6 999 99.0 9999
2012 01 01 19 30  80  6.6 999 99.0 9999
2012 01 01 19 40  81  6.3 999 99.0 9999
2012 01 01 19 50  81  6.4  87  8.2 1911
2012 01 01 20 00  83  6.2 999 99.0 9999
2012 01 01 20 10  84  6.0 999 99.0 9999
2012 01 01 20 20  87  5.9 999 99.0 9999
2012 01 01 20 30  93  5.6 999 99.0 9999
2012 01 01 20 40  97  5.2 999 99.0 9999
2012 01 01 20 50 101  5.4  83  7.6 2000
2012 01 01 21 00  96  5.5 999 99.0 9999
2012 01 01 21 10  96  5.6 999 99.0 9999
2012 01 01 21 20  89  5.1 999 99.0 9999
2012 01 01 21 30  97  5.6 999 99.0 9999
2012 01 01 21 40  96  5.6 999 99.0 9999
2012 01 01 21 50  97  5.6  93  7.3 2058
2012 01 01 22 00 101  5.5 999 99.0 9999
2012 01 01 22 10 101  5.2 999 99.0 9999
2012 01 01 22 20 100  5.1 999 99.0 9999
2012 01 01 22 30 102  5.3 999 99.0 9999
2012 01 01 22 40 102  5.3 999 99.0 9999
2012 01 01 22 50 110  5.2 107  6.9 2153
2012 01 01 23 00 111  5.1 999 99.0 9999
2012 01 01 23 10 113  5.2 999 99.0 9999
2012 01 01 23 20 114  5.1 999 99.0 9999
2012 01 01 23 30 115  5.0 999 99.0 9999
2012 01 01 23 40 116  4.4 999 99.0 9999
2012 01 01 23 50 117  4.4 121  7.2 2250
2012 01 02 00 00 118  4.9 999 99.0 9999
2012 01 02 00 10 119  4.9 999 99.0 9999
2012 01 02 00 20 120  4.8 999 99.0 9999
2012 01 02 00 30 120  4.8 999 99.0 9999
2012 01 02 00 40 124  4.8 999 99.0 9999
2012 01 02 00 50 122  4.5 126  7.3 2355
2012 01 02 01 00 126  4.7 999 99.0 9999
2012 01 02 01 10 136  4.3 999 99.0 9999
2012 01 02 01 20 137  4.6 999 99.0 9999
2012 01 02 01 30 133  4.7 999 99.0 9999
2012 01 02 01 40 135  4.7 999 99.0 9999
2012 01 02 01 50 139  4.9 138  7.3 0149
2012 01 02 02 00 134  5.3 999 99.0 9999
2012 01 02 02 10 132  5.4 999 99.0 9999
2012 01 02 02 20 137  5.6 999 99.0 9999
2012 01 02 02 30 137  5.6 999 99.0 9999
2012 01 02 02 40 139  5.8 999 99.0 9999
2012 01 02 02 50 137  5.8 140  9.6 0245
2012 01 02 03 00 134  6.1 999 99.0 9999
2012 01 02 03 10 133  5.8 999 99.0 9999
2012 01 02 03 20 139  5.6 999 99.0 9999
2012 01 02 03 30 133  5.4 999 99.0 9999
2012 01 02 03 40 133  5.6 999 99.0 9999
2012 01 02 03 50 133  5.5 137  9.0 0301
2012 01 02 04 00 135  5.2 999 99.0 9999
2012 01 02 04 10 134  4.9 999 99.0 9999
2012 01 02 04 20 138  4.8 999 99.0 9999
2012 01 02 04 30 135  4.8 999 99.0 9999
2012 01 02 04 40 137  4.9 999 99.0 9999
2012 01 02 04 50 133  5.2 138  8.6 0354
2012 01 02 05 00 134  5.1 999 99.0 9999
2012 01 02 05 10 141  4.8 999 99.0 9999
2012 01 02 05 20 137  4.7 999 99.0 9999
2012 01 02 05 30 143  4.3 999 99.0 9999
2012 01 02 05 40 138  5.1 999 99.0 9999
2012 01 02 05 50 134  6.0 140  8.3 0539
2012 01 02 08 00 144  5.3 999 99.0 9999
2012 01 02 08 10 141  5.7 999 99.0 9999
2012 01 02 08 20 144  5.1 999 99.0 9999
2012 01 02 08 30 145  4.7 999 99.0 9999
2012 01 02 08 40 152  5.1 999 99.0 9999
2012 01 02 08 50 150  5.2 146  7.8 0806
2012 01 02 09 00 147  5.2 999 99.0 9999
2012 01 02 09 10 149  5.4 999 99.0 9999
2012 01 02 09 20 152  5.2 999 99.0 9999
2012 01 02 09 30 158  5.0 999 99.0 9999
2012 01 02 09 40 154  5.4 999 99.0 9999
2012 01 02 09 50 151  5.3 148  7.7 0906
2012 01 02 10 00 159  5.0 999 99.0 9999
2012 01 02 10 10 162  4.9 999 99.0 9999
2012 01 02 10 20 166  4.9 999 99.0 9999
2012 01 02 10 30 161  4.7 999 99.0 9999
2012 01 02 10 40 152  4.8 999 99.0 9999
2012 01 02 10 50 150  5.4 142  8.0 1037
2012 01 02 11 00 152  5.6 999 99.0 9999
2012 01 02 11 10 156  4.9 999 99.0 9999
2012 01 02 11 20 156  5.1 999 99.0 9999
2012 01 02 11 30 156  4.9 999 99.0 9999
2012 01 02 11 40 151  5.1 999 99.0 9999
2012 01 02 11 50 157  4.9 146  8.5 1050
2012 01 02 12 00 156  5.0 999 99.0 9999
2012 01 02 12 10 161  5.0 999 99.0 9999
