"","country","Freq"
"1","Australia",1
"2","Austria",1
"3","Bangladesh",1
"4","Belgium",1
"5","China",28
"6","Hong Kong",1
"7","Japan",3
"8","Macau",1
"9","Malaysia",1
"10","Russia",1
"11","Singapore",2
"12","South Korea",6
"13","Taiwan",7
"14","USA",37
"15","Vietnam",2
