event,on_date,air_nox,siteid
54,12/5/2007,63.48253559,LR002
55,1/16/2008,29.58032547,LR002
51,10/25/2007,63.08945202,LR002
40,5/23/2007,13.59910102,LR002
50,10/10/2007,35.11869389,LR002
48,9/12/2007,27.98860818,LR002
47,8/29/2007,13.59910102,LR002
42,6/20/2007,13.59910102,LR002
41,6/6/2007,13.59910102,LR002
40,5/23/2007,13.59910102,LR002
39,5/9/2007,13.59910102,LR002
53,11/21/2007,73.56831288,LR002
38,4/25/2007,13.59910102,LR002
52,11/7/2007,63.99785638,LR002
44,7/18/2007,13.59910102,LR002
44,7/18/2007,13.59910102,LR002
49,9/26/2007,3.13473632,LR002
49,9/26/2007,37.07264317,LR002
45,8/1/2007,13.59910102,LR002
47,8/29/2007,13.59910102,LR002
37,4/11/2007,27.93011985,LR002
46,8/15/2007,13.59910102,LR002
36,3/28/2007,30.41915677,LR002
43,7/3/2007,13.59910102,LR002
34,2/28/2007,49.15376754,LR002
33,2/14/2007,37.20399592,LR002
48,9/12/2007,13.59910102,LR002
35,3/14/2007,29.32646741,LR002
29,12/20/2006,72.63166474,LR002
26,11/8/2006,93.49094677,LR002
27,11/22/2006,59.6517383,LR002
32,1/31/2007,73.09676888,LR002
31,1/17/2007,61.58093877,LR002
29,12/20/2006,76.25867633,LR002
25,10/25/2006,55.5277249,LR002
24,10/11/2006,41.7901716,LR002
23,9/27/2006,36.30749047,LR002
22,9/13/2006,29.8701387,LR002
22,9/13/2006,27.92378434,LR002
21,8/30/2006,13.59910102,LR002
30,1/3/2007,52.98401843,LR002
17,7/5/2006,13.59910102,LR002
16,6/21/2006,13.59910102,LR002
15,6/7/2006,13.59910102,LR002
14,5/24/2006,13.59910102,LR002
13,5/10/2006,13.59910102,LR002
12,4/26/2006,13.59910102,LR002
11,4/12/2006,27.33101746,LR002
10,3/29/2006,13.59910102,LR002
18,7/19/2006,13.59910102,LR002
8,3/1/2006,36.04315909,LR002
7,2/15/2006,61.73204495,LR002
5,1/18/2006,57.8815044,LR002
4,1/4/2006,79.62739734,LR002
3,12/21/2005,92.37739199,LR002
2,12/7/2005,120.5831194,LR002
2,12/7/2005,121.1950471,LR002
1,11/23/2005,81.15258275,LR002
9,3/15/2006,36.2755668,LR002
6,2/1/2006,71.9157249,LR002
9,3/15/2006,36.07794499,LR002
19,8/2/2006,13.59910102,LR002
